Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231130213202_27513,20231130213202_27513,,,dtlz7,3,5,1,,,,,250,0.668437121652293,0.05880968329421867,0.39806776275740535,369.9081165790558
20231213095915_xf0sz,20231213095915_xf0sz,2023-12-13 09:59:17,True,dtlz1,2,2,4,0,continuous change when fails,0.6,11,250,0.13747305213209998,0.0042124014643877845,0.184031355612956,1159.5194792747498
20231206161224_24782,20231206161224_24782,,,dtlz7,3,3,3,,,0.3,15,300,0.25488905619107444,0.017752380154070248,0.8398231966816473,1446.5852200984955
20231203174905_10259,20231203174905_10259,,,dtlz7,3,3,2,,,0.75,15,300,0.3457533565863584,0.007857415061993736,0.6430288590689849,1137.8067388534546
20231206042624_432,20231206042624_432,,,dtlz5,2,2,3,,,0.5,11,250,0.016692248590550483,0.0022385168104701717,0.41050412970339717,980.8999125957489
20231213013508_ltxpn,20231213013508_ltxpn,2023-12-13 01:35:11,True,dtlz1,2,2,0,0,rate with one time change when fails,0.2,11,250,0.005884416094248937,0.001995474591177387,0.23258491640033974,871.6217334270477
20231214001439_wqew1,20231214001439_wqew1,2023-12-14 00:14:42,True,dtlz7,3,3,4,0,rate with one time change when fails,0.5,15,50,0.4795126155274671,0.03409081406082268,0.3631970737305524,44.559974193573
20231213084959_0ypvs,20231213084959_0ypvs,2023-12-13 08:50:01,True,dtlz1,2,2,4,0,rate with continuous change when fails,0.4,11,250,0.01320321286404873,0.0031765562973889152,0.22969671285082524,846.1329243183136
20231213044442_ilrtx,20231213044442_ilrtx,2023-12-13 04:44:45,True,dtlz1,2,2,0,1,rate with one time change when fails,0.2,11,250,0.00629446253263764,0.0020285374666218327,0.2325076663032497,984.4842212200165
20231214005916_g3nh7,20231214005916_g3nh7,2023-12-14 00:59:19,False,dtlz7,3,3,4,1,rate with one time change when fails,0.5,15,50,0.4626388086451862,8.85695010565237,0.4291087425126669,44.78873825073242
20231213113304_clyhe,20231213113304_clyhe,2023-12-13 11:33:06,True,dtlz1,2,2,4,1,rate with continuous change when fails,0.2,11,250,0.06219873162104159,0.009058939618574973,0.212184604469421,1057.4931106567383
20231130122053,20231130122053,,,dtlz1,2,3,2,,,,,250,0.03624745558934708,0.0030663040649029226,0.22144523365180518,778.6858565807343
20231214011152_xm2wt,20231214011152_xm2wt,2023-12-14 01:11:54,True,dtlz7,3,3,4,1,rate with one time change when fails,0.5,15,50,0.3837807202856567,3.448269363466724,0.41642452236191674,97.17073178291321
20231203190338_24148,20231203190338_24148,,,dtlz7,3,5,2,,,0.25,15,300,0.6777219424829526,0.02243319684836619,0.47468964595022556,1555.798134803772
20231213195031_s83cn,20231213195031_s83cn,2023-12-13 19:50:34,True,dtlz1,2,3,0,1,rate with one time change when fails,0.6,11,250,0.011058087908029552,0.0026259133748477935,0.23015909528620856,1077.2812418937683
20231205172207_25715,20231205172207_25715,,,dtlz4,3,3,2,,,0.5,15,50,0.5169879827356841,0.02102254900155855,0.3314815477531686,98.71555233001709
20231206001107_14829,20231206001107_14829,,,dtlz2,2,2,3,,,0.5,11,250,0.016499824324761075,0.00425359801055848,0.4022928111117167,1178.4481182098389
